api-1  | 127.0.0.1 - - [06/May/2026 13:12:54] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:13:04] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:13:14] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:13:24] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:13:34] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:13:44] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:13:55] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:14:05] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:14:15] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:14:25] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:14:35] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:14:45] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:14:55] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:15:05] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:15:15] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:15:26] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:15:36] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:15:46] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:15:56] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:16:06] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:16:16] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:16:26] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:16:36] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:16:46] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:16:56] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:17:07] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:17:17] "GET /health HTTP/1.1" 200 -
api-1  | 172.18.0.3 - - [06/May/2026 13:17:20] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:17:27] "GET /health HTTP/1.1" 200 -
api-1  | 172.18.0.3 - - [06/May/2026 13:17:35] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:17:37] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:17:47] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:17:57] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:18:07] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:18:17] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:18:27] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:18:37] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:18:48] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:18:58] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:19:08] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:19:18] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:19:28] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:19:38] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:19:48] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:19:58] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:20:08] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:20:19] "GET /health HTTP/1.1" 200 -
api-1  | 127.0.0.1 - - [06/May/2026 13:20:29] "GET /health HTTP/1.1" 200 -
api-1  | 172.18.0.3 - - [06/May/2026 13:20:31] "GET /health HTTP/1.1" 200 -
api-1  | 172.18.0.3 - - [06/May/2026 13:20:32] "GET /health HTTP/1.1" 200 -
